date, value
12/20/2013,1818.32
12/23/2013,1827.99
12/24/2013,1833.32
12/26/2013,1842.02
12/27/2013,1841.4
12/30/2013,1841.07
12/31/2013,1848.36
1/2/2014,1831.98
1/3/2014,1831.37
1/6/2014,1826.77
1/7/2014,1837.88
1/8/2014,1837.49
1/9/2014,1838.13
1/10/2014,1842.37
1/13/2014,1819.2
1/14/2014,1838.88
1/15/2014,1848.38
1/16/2014,1845.89
1/17/2014,1838.7
1/21/2014,1843.8
1/22/2014,1844.86
1/23/2014,1828.46
1/24/2014,1790.29
1/27/2014,1781.56
1/28/2014,1792.5
1/29/2014,1774.2
1/30/2014,1794.19
1/31/2014,1782.59
2/3/2014,1741.89
2/4/2014,1755.2
2/5/2014,1751.64
2/6/2014,1773.43
2/7/2014,1797.02
2/10/2014,1799.84
2/11/2014,1819.75
2/12/2014,1819.26
2/13/2014,1829.83
2/14/2014,1838.63
2/18/2014,1840.76
2/19/2014,1828.75
2/20/2014,1839.78
2/21/2014,1836.25
2/24/2014,1847.61
2/25/2014,1845.12
2/26/2014,1845.16
2/27/2014,1854.29
2/28/2014,1859.45
3/3/2014,1845.73
3/4/2014,1873.91
3/5/2014,1873.81
3/6/2014,1877.03
3/7/2014,1878.04
3/10/2014,1877.17
3/11/2014,1867.63
3/12/2014,1868.2
3/13/2014,1846.34
3/14/2014,1841.13
3/17/2014,1858.83
3/18/2014,1872.25
3/19/2014,1860.77
3/20/2014,1872.01
3/21/2014,1866.52
3/24/2014,1857.44
3/25/2014,1865.62
3/26/2014,1852.56
3/27/2014,1849.04
3/28/2014,1857.62
3/31/2014,1872.34
4/1/2014,1885.52
4/2/2014,1890.9
4/3/2014,1888.77
4/4/2014,1865.09
4/7/2014,1845.04
4/8/2014,1851.96
4/9/2014,1872.18
4/10/2014,1833.08
4/11/2014,1815.69
4/14/2014,1830.61
4/15/2014,1842.98
4/16/2014,1862.31
4/17/2014,1864.85
4/21/2014,1871.89
4/22/2014,1879.55
4/23/2014,1875.39
4/24/2014,1878.61
4/25/2014,1863.4
4/28/2014,1869.43
4/29/2014,1878.33
4/30/2014,1883.95
5/1/2014,1883.68
5/2/2014,1881.14
5/5/2014,1884.66
5/6/2014,1867.72
5/7/2014,1878.21
5/8/2014,1875.63
5/9/2014,1878.48
5/12/2014,1896.65
5/13/2014,1897.45
5/14/2014,1888.53
5/15/2014,1870.85
5/16/2014,1877.86
5/19/2014,1885.08
5/20/2014,1872.83
5/21/2014,1888.03
5/22/2014,1892.49
5/23/2014,1900.53
5/27/2014,1911.91
5/28/2014,1909.78
5/29/2014,1920.03
5/30/2014,1923.57
6/2/2014,1924.97
6/3/2014,1924.24
6/4/2014,1927.88
6/5/2014,1940.46
6/6/2014,1949.44
6/9/2014,1951.27
6/10/2014,1950.79
6/11/2014,1943.89
6/12/2014,1930.11
6/13/2014,1936.16
6/16/2014,1937.78
6/17/2014,1941.99
6/18/2014,1956.98
6/19/2014,1959.48
6/20/2014,1962.87
6/23/2014,1962.61
6/24/2014,1949.98
6/25/2014,1959.53
6/26/2014,1957.22
6/27/2014,1960.96
6/30/2014,1960.23
7/1/2014,1973.32
7/2/2014,1974.62
7/3/2014,1985.44
7/7/2014,1977.65
7/8/2014,1963.71
7/9/2014,1972.83
7/10/2014,1964.68
7/11/2014,1967.57
7/14/2014,1977.1
7/15/2014,1973.28
7/16/2014,1981.57
7/17/2014,1958.12
7/18/2014,1978.22
7/21/2014,1973.63
7/22/2014,1983.53
7/23/2014,1987.01
7/24/2014,1987.98
7/25/2014,1978.34
7/28/2014,1978.91
7/29/2014,1969.95
7/30/2014,1970.07
7/31/2014,1930.67
8/1/2014,1925.15
8/4/2014,1938.99
8/5/2014,1920.21
8/6/2014,1920.24
8/7/2014,1909.57
8/8/2014,1931.59
8/11/2014,1936.92
8/12/2014,1933.75
8/13/2014,1946.72
8/14/2014,1955.18
8/15/2014,1955.06
8/18/2014,1971.74
8/19/2014,1981.6
8/20/2014,1986.51
8/21/2014,1992.37
8/22/2014,1988.4
8/25/2014,1997.92
8/26/2014,2000.02
8/27/2014,2000.12
8/28/2014,1996.74
8/29/2014,2003.37
9/2/2014,2002.28
9/3/2014,2000.72
9/4/2014,1997.65
9/5/2014,2007.71
9/8/2014,2001.54
9/9/2014,1988.44
9/10/2014,1995.69
9/11/2014,1997.45
9/12/2014,1985.54
9/15/2014,1984.13
9/16/2014,1998.98
9/17/2014,2001.57
9/18/2014,2011.36
9/19/2014,2010.4
9/22/2014,1994.29
9/23/2014,1982.77
9/24/2014,1998.3
9/25/2014,1965.99
9/26/2014,1982.85
9/29/2014,1977.8
9/30/2014,1972.29
10/1/2014,1946.16
10/2/2014,1946.17
10/3/2014,1967.9
10/6/2014,1964.82
10/7/2014,1935.1
10/8/2014,1968.89
10/9/2014,1928.21
10/10/2014,1906.13
10/13/2014,1874.74
10/14/2014,1877.7
10/15/2014,1862.49
10/16/2014,1862.76
10/17/2014,1886.76
10/20/2014,1904.01
10/21/2014,1941.28
10/22/2014,1927.11
10/23/2014,1950.82
10/24/2014,1964.58
10/27/2014,1961.63
10/28/2014,1985.05
10/29/2014,1982.3
10/30/2014,1994.65
10/31/2014,2018.05
11/3/2014,2017.81
11/4/2014,2012.1
11/5/2014,2023.57
11/6/2014,2031.21
11/7/2014,2031.92
11/10/2014,2038.26
11/11/2014,2039.68
11/12/2014,2038.25
11/13/2014,2039.33
11/14/2014,2039.82
11/17/2014,2041.32
11/18/2014,2051.8
11/19/2014,2048.72
11/20/2014,2052.75
11/21/2014,2063.5
11/24/2014,2069.41
11/25/2014,2067.03
11/26/2014,2072.83
11/28/2014,2067.56
12/1/2014,2053.44
12/2/2014,2066.55
12/3/2014,2074.33
12/4/2014,2071.92
12/5/2014,2075.37
12/8/2014,2060.31
12/9/2014,2059.82
12/10/2014,2026.14
12/11/2014,2035.33
12/12/2014,2002.33
12/15/2014,1989.63
12/16/2014,1972.74
12/17/2014,2012.89
12/18/2014,2061.23
12/19/2014,2070.65
12/22/2014,2078.54
12/23/2014,2082.17
12/24/2014,2081.88
12/26/2014,2088.77
12/29/2014,2090.57
12/30/2014,2080.35
12/31/2014,2058.9
1/2/2015,2058.2
1/5/2015,2020.58
1/6/2015,2002.61
1/7/2015,2025.9
1/8/2015,2062.14
1/9/2015,2044.81
1/12/2015,2028.26
1/13/2015,2023.03
1/14/2015,2011.27
1/15/2015,1992.67
1/16/2015,2019.42
1/20/2015,2022.55
1/21/2015,2032.12
1/22/2015,2063.15
1/23/2015,2051.82
1/26/2015,2057.09
1/27/2015,2029.55
1/28/2015,2002.16
1/29/2015,2021.25
1/30/2015,1994.99
2/2/2015,2020.85
2/3/2015,2050.03
2/4/2015,2041.51
2/5/2015,2062.52
2/6/2015,2055.47
2/9/2015,2046.74
2/10/2015,2068.59
2/11/2015,2068.53
2/12/2015,2088.48
2/13/2015,2096.99
2/17/2015,2100.34
2/18/2015,2099.68
2/19/2015,2097.45
2/20/2015,2110.3
2/23/2015,2109.66
2/24/2015,2115.48
2/25/2015,2113.86
2/26/2015,2110.74
2/27/2015,2104.5
3/2/2015,2117.39
3/3/2015,2107.78
3/4/2015,2098.53
3/5/2015,2101.04
3/6/2015,2071.26
3/9/2015,2079.43
3/10/2015,2044.16
3/11/2015,2040.24
3/12/2015,2065.95
3/13/2015,2053.4
3/16/2015,2081.19
3/17/2015,2074.28
3/18/2015,2099.5
3/19/2015,2089.27
3/20/2015,2108.1
3/23/2015,2104.42
3/24/2015,2091.5
3/25/2015,2061.05
3/26/2015,2056.15
3/27/2015,2061.02
3/30/2015,2086.24
3/31/2015,2067.89
4/1/2015,2059.69
4/2/2015,2066.96
4/6/2015,2080.62
4/7/2015,2076.33
4/8/2015,2081.9
4/9/2015,2091.18
4/10/2015,2102.06
4/13/2015,2092.43
4/14/2015,2095.84
4/15/2015,2106.63
4/16/2015,2104.99
4/17/2015,2081.18
4/20/2015,2100.4
4/21/2015,2097.29
4/22/2015,2107.96
4/23/2015,2112.93
4/24/2015,2117.69
4/27/2015,2108.92
4/28/2015,2114.76
4/29/2015,2106.85
4/30/2015,2085.51
5/1/2015,2108.29
5/4/2015,2114.49
5/5/2015,2089.46
5/6/2015,2080.15
5/7/2015,2088
5/8/2015,2116.1
5/11/2015,2105.33
5/12/2015,2099.12
5/13/2015,2098.48
5/14/2015,2121.1
5/15/2015,2122.73
5/18/2015,2129.2
5/19/2015,2127.83
5/20/2015,2125.85
5/21/2015,2130.82
5/22/2015,2126.06
5/26/2015,2104.2
5/27/2015,2123.48
5/28/2015,2120.79
5/29/2015,2107.39
6/1/2015,2111.73
6/2/2015,2109.6
6/3/2015,2114.07
6/4/2015,2095.84
6/5/2015,2092.83
6/8/2015,2079.28
6/9/2015,2080.15
6/10/2015,2105.2
6/11/2015,2108.86
6/12/2015,2094.11
6/15/2015,2084.43
6/16/2015,2096.29
6/17/2015,2100.44
6/18/2015,2121.24
6/19/2015,2109.99
6/22/2015,2122.85
6/23/2015,2124.2
6/24/2015,2108.58
6/25/2015,2102.31
6/26/2015,2101.49
6/29/2015,2057.64
6/30/2015,2063.11
7/1/2015,2077.42
7/2/2015,2076.78
7/6/2015,2068.76
7/7/2015,2081.34
7/8/2015,2046.68
7/9/2015,2051.31
7/10/2015,2076.62
7/13/2015,2099.6
7/14/2015,2108.95
7/15/2015,2107.4
7/16/2015,2124.29
7/17/2015,2126.64
7/20/2015,2128.28
7/21/2015,2119.21
7/22/2015,2114.15
7/23/2015,2102.15
7/24/2015,2079.65
7/27/2015,2067.64
7/28/2015,2093.25
7/29/2015,2108.57
7/30/2015,2108.63
7/31/2015,2103.84
8/3/2015,2098.04
8/4/2015,2093.32
8/5/2015,2099.84
8/6/2015,2083.56
8/7/2015,2077.57
8/10/2015,2104.18
8/11/2015,2084.07
8/12/2015,2086.05
8/13/2015,2083.39
8/14/2015,2091.54
8/17/2015,2102.44
8/18/2015,2096.92
8/19/2015,2079.61
8/20/2015,2035.73
8/21/2015,1970.89
8/24/2015,1893.21
8/25/2015,1867.61
8/26/2015,1940.51
8/27/2015,1987.66
8/28/2015,1988.87
8/31/2015,1972.18
9/1/2015,1913.85
9/2/2015,1948.86
9/3/2015,1951.13
9/4/2015,1921.22
9/8/2015,1969.41
9/9/2015,1942.04
9/10/2015,1952.29
9/11/2015,1961.05
9/14/2015,1953.03
9/15/2015,1978.09
9/16/2015,1995.31
9/17/2015,1990.2
9/18/2015,1958.03
9/21/2015,1966.97
9/22/2015,1942.74
9/23/2015,1938.76
9/24/2015,1932.24
9/25/2015,1931.34
9/28/2015,1881.77
9/29/2015,1884.09
9/30/2015,1920.03
10/1/2015,1923.82
10/2/2015,1951.36
10/5/2015,1987.05
10/6/2015,1979.92
10/7/2015,1995.83
10/8/2015,2013.43
10/9/2015,2014.89
10/12/2015,2017.46
10/13/2015,2003.69
10/14/2015,1994.24
10/15/2015,2023.86
10/16/2015,2033.11
10/19/2015,2033.66
10/20/2015,2030.77
10/21/2015,2018.94
10/22/2015,2052.51
10/23/2015,2075.15
10/26/2015,2071.18
10/27/2015,2065.89
10/28/2015,2090.35
10/29/2015,2089.41
10/30/2015,2079.36
11/2/2015,2104.05
11/3/2015,2109.79
11/4/2015,2102.31
11/5/2015,2099.93
11/6/2015,2099.2
11/9/2015,2078.58
11/10/2015,2081.72
11/11/2015,2075
11/12/2015,2045.97
11/13/2015,2023.04
11/16/2015,2053.19
11/17/2015,2050.44
11/18/2015,2083.58
11/19/2015,2081.24
11/20/2015,2089.17
11/23/2015,2086.59
11/24/2015,2089.14
11/25/2015,2088.87
11/27/2015,2090.11
11/30/2015,2080.41
12/1/2015,2102.63
12/2/2015,2079.51
12/3/2015,2049.62
12/4/2015,2091.69
12/7/2015,2077.07
12/8/2015,2063.59
12/9/2015,2047.62
12/10/2015,2052.23
12/11/2015,2012.37
12/14/2015,2021.94
12/15/2015,2043.41
12/16/2015,2073.07
12/17/2015,2041.89
12/18/2015,2005.55
12/21/2015,2021.15
12/22/2015,2038.97
12/23/2015,2064.29
12/24/2015,2060.99
12/28/2015,2056.5
12/29/2015,2078.36
12/30/2015,2063.36
12/31/2015,2043.94
1/4/2016,2012.66
1/5/2016,2016.71
1/6/2016,1990.26
1/7/2016,1943.09
1/8/2016,1922.03
1/11/2016,1923.67
1/12/2016,1938.68
1/13/2016,1890.28
1/14/2016,1921.84
1/15/2016,1880.33
1/19/2016,1881.33
1/20/2016,1859.33
1/21/2016,1868.99
1/22/2016,1906.9
1/25/2016,1877.08
1/26/2016,1903.63
1/27/2016,1882.95
1/28/2016,1893.36
1/29/2016,1940.24
2/1/2016,1939.38
2/2/2016,1903.03
2/3/2016,1912.53
2/4/2016,1915.45
2/5/2016,1880.05
2/8/2016,1853.44
2/9/2016,1852.21
2/10/2016,1851.86
2/11/2016,1829.08
2/12/2016,1864.78
2/16/2016,1895.58
2/17/2016,1926.82
2/18/2016,1917.83
2/19/2016,1917.78
2/22/2016,1945.5
2/23/2016,1921.27
2/24/2016,1929.8
2/25/2016,1951.7
2/26/2016,1948.05
2/29/2016,1932.23
3/1/2016,1978.35
3/2/2016,1986.45
3/3/2016,1993.4
3/4/2016,1999.99
3/7/2016,2001.76
3/8/2016,1979.26
3/9/2016,1989.26
3/10/2016,1989.57
3/11/2016,2022.19
3/14/2016,2019.64
3/15/2016,2015.93
3/16/2016,2027.22
3/17/2016,2040.59
3/18/2016,2049.58
3/21/2016,2051.6
3/22/2016,2049.8
3/23/2016,2036.71
3/24/2016,2035.94
3/28/2016,2037.05
3/29/2016,2055.01
3/30/2016,2063.95
3/31/2016,2059.74
4/1/2016,2072.78
4/4/2016,2066.13
4/5/2016,2045.17
4/6/2016,2066.66
4/7/2016,2041.91
4/8/2016,2047.6
4/11/2016,2041.99
4/12/2016,2061.72
4/13/2016,2082.42
4/14/2016,2082.78
4/15/2016,2080.73
4/18/2016,2094.34
4/19/2016,2100.8
4/20/2016,2102.4
4/21/2016,2091.48
4/22/2016,2091.58
4/25/2016,2087.79
4/26/2016,2091.7
4/27/2016,2095.15
4/28/2016,2075.81
4/29/2016,2065.3
5/2/2016,2081.43
5/3/2016,2063.37
5/4/2016,2051.12
5/5/2016,2050.63
5/6/2016,2057.14
5/9/2016,2058.69
5/10/2016,2084.39
5/11/2016,2064.46
5/12/2016,2064.11
5/13/2016,2046.61
5/16/2016,2066.66
5/17/2016,2047.21
5/18/2016,2047.63
5/19/2016,2040.04
5/20/2016,2052.32
5/23/2016,2048.04
5/24/2016,2076.06
5/25/2016,2090.54
5/26/2016,2090.1
5/27/2016,2099.06
5/31/2016,2096.96
6/1/2016,2099.33
6/2/2016,2105.26
6/3/2016,2099.13
6/6/2016,2109.41
6/7/2016,2112.13
6/8/2016,2119.12
6/9/2016,2115.48
6/10/2016,2096.07
6/13/2016,2079.06
6/14/2016,2075.32
6/15/2016,2071.5
6/16/2016,2077.99
6/17/2016,2071.22
6/20/2016,2083.25
6/21/2016,2088.9
6/22/2016,2085.45
6/23/2016,2113.32
6/24/2016,2037.41
6/27/2016,2000.54
6/28/2016,2036.09
6/29/2016,2070.77
6/30/2016,2098.86
7/1/2016,2102.95
7/5/2016,2088.55
7/6/2016,2099.73
7/7/2016,2097.9
7/8/2016,2129.9
7/11/2016,2137.16
7/12/2016,2152.14
7/13/2016,2152.43
7/14/2016,2163.75
7/15/2016,2161.74
7/18/2016,2166.89
7/19/2016,2163.78
7/20/2016,2173.02
7/21/2016,2165.17
7/22/2016,2175.03
7/25/2016,2168.48
7/26/2016,2169.18
7/27/2016,2166.58
7/28/2016,2170.06
7/29/2016,2173.6
8/1/2016,2170.84
8/2/2016,2157.03
8/3/2016,2163.79
8/4/2016,2164.25
8/5/2016,2182.87
8/8/2016,2180.89
8/9/2016,2181.74
8/10/2016,2175.49
8/11/2016,2185.79
8/12/2016,2184.05
8/15/2016,2190.15
8/16/2016,2178.15
8/17/2016,2182.22
8/18/2016,2187.02
8/19/2016,2183.87
8/22/2016,2182.64
8/23/2016,2186.9
8/24/2016,2175.44
8/25/2016,2172.47
8/26/2016,2169.04
8/29/2016,2180.38
8/30/2016,2176.12
8/31/2016,2170.95
9/1/2016,2170.86
9/2/2016,2179.98
9/6/2016,2186.48
9/7/2016,2186.16
9/8/2016,2181.3
9/9/2016,2127.81
9/12/2016,2159.04
9/13/2016,2127.02
9/14/2016,2125.77
9/15/2016,2147.26
9/16/2016,2139.16
9/19/2016,2139.12
9/20/2016,2139.76
9/21/2016,2163.12
9/22/2016,2177.18
9/23/2016,2164.69
9/26/2016,2146.1
9/27/2016,2159.93
9/28/2016,2171.37
9/29/2016,2151.13
9/30/2016,2168.27
10/3/2016,2161.2
10/4/2016,2150.49
10/5/2016,2159.73
10/6/2016,2160.77
10/7/2016,2153.74
10/10/2016,2163.66
10/11/2016,2136.73
10/12/2016,2139.18
10/13/2016,2132.55
10/14/2016,2132.98
10/17/2016,2126.5
10/18/2016,2139.6
10/19/2016,2144.29
10/20/2016,2141.34
10/21/2016,2141.16
10/24/2016,2151.33
10/25/2016,2143.16
10/26/2016,2139.43
10/27/2016,2133.04
10/28/2016,2126.41
10/31/2016,2126.15
11/1/2016,2111.72
11/2/2016,2097.94
11/3/2016,2088.66
11/4/2016,2085.18
11/7/2016,2131.52
11/8/2016,2139.56
11/9/2016,2163.26
11/10/2016,2167.48
11/11/2016,2164.45
11/14/2016,2164.2
11/15/2016,2180.39
11/16/2016,2176.94
11/17/2016,2187.12
11/18/2016,2181.9
11/21/2016,2198.18
11/22/2016,2202.94
11/23/2016,2204.72
11/25/2016,2213.35
11/28/2016,2201.72
11/29/2016,2204.66
11/30/2016,2198.81
12/1/2016,2191.08
12/2/2016,2191.95
12/5/2016,2204.71
12/6/2016,2212.23
12/7/2016,2241.35
12/8/2016,2246.19
12/9/2016,2259.53
12/12/2016,2256.96
12/13/2016,2271.72
12/14/2016,2253.28
12/15/2016,2262.03
12/16/2016,2258.07
12/19/2016,2262.53
12/20/2016,2270.76
12/21/2016,2265.18
12/22/2016,2260.96
12/23/2016,2263.79
12/27/2016,2268.88
12/28/2016,2249.92
12/29/2016,2249.26
12/30/2016,2238.83
1/3/2017,2257.83
1/4/2017,2270.75
1/5/2017,2269
1/6/2017,2276.98
1/9/2017,2268.9
1/10/2017,2268.9
1/11/2017,2275.32
1/12/2017,2270.44
1/13/2017,2274.64
1/17/2017,2267.89
1/18/2017,2271.89
1/19/2017,2263.69
1/20/2017,2271.31
1/23/2017,2265.2
1/24/2017,2280.07
1/25/2017,2298.37
1/26/2017,2296.68
1/27/2017,2294.69
1/30/2017,2280.9
1/31/2017,2278.87
2/1/2017,2279.55
2/2/2017,2280.85
2/3/2017,2297.42
2/6/2017,2292.56
2/7/2017,2293.08
2/8/2017,2294.67
2/9/2017,2307.87
2/10/2017,2316.1
2/13/2017,2328.25
2/14/2017,2337.58
2/15/2017,2349.25
2/16/2017,2347.22
2/17/2017,2351.16
2/21/2017,2365.38
2/22/2017,2362.82
2/23/2017,2363.81
2/24/2017,2367.34
2/27/2017,2369.75
2/28/2017,2363.64
3/1/2017,2395.96
3/2/2017,2381.92
3/3/2017,2383.12
3/6/2017,2375.31
3/7/2017,2368.39
3/8/2017,2362.98
3/9/2017,2364.87
3/10/2017,2372.6
3/13/2017,2373.47
3/14/2017,2365.45
3/15/2017,2385.26
3/16/2017,2381.38
3/17/2017,2378.25
3/20/2017,2373.47
3/21/2017,2344.02
3/22/2017,2348.45
3/23/2017,2345.96
3/24/2017,2343.98
3/27/2017,2341.59
3/28/2017,2358.57
3/29/2017,2361.13
3/30/2017,2368.06
3/31/2017,2362.72
4/3/2017,2358.84
4/4/2017,2360.16
4/5/2017,2352.95
4/6/2017,2357.49
4/7/2017,2355.54
4/10/2017,2357.16
4/11/2017,2353.78
4/12/2017,2344.93
4/13/2017,2328.95
4/17/2017,2349.01
4/18/2017,2342.19
4/19/2017,2338.17
4/20/2017,2355.84
4/21/2017,2348.69
4/24/2017,2374.15
4/25/2017,2388.61
4/26/2017,2387.45
4/27/2017,2388.77
4/28/2017,2384.2
5/1/2017,2388.33
5/2/2017,2391.17
5/3/2017,2388.13
5/4/2017,2389.52
5/5/2017,2399.29
5/8/2017,2399.38
5/9/2017,2396.92
5/10/2017,2399.63
5/11/2017,2394.44
5/12/2017,2390.9
5/15/2017,2402.32
5/16/2017,2400.67
5/17/2017,2357.03
5/18/2017,2365.72
5/19/2017,2381.73
5/22/2017,2394.02
5/23/2017,2398.42
5/24/2017,2404.39
5/25/2017,2415.07
5/26/2017,2415.82
5/30/2017,2412.91
5/31/2017,2411.8
6/1/2017,2430.06
6/2/2017,2439.07
6/5/2017,2436.1
6/6/2017,2429.33
6/7/2017,2433.14
6/8/2017,2433.79
6/9/2017,2431.77
6/12/2017,2429.39
6/13/2017,2440.35
6/14/2017,2437.92
6/15/2017,2432.46
6/16/2017,2433.15
6/19/2017,2453.46
6/20/2017,2437.03
6/21/2017,2435.61
6/22/2017,2434.5
6/23/2017,2438.3
6/26/2017,2439.07
6/27/2017,2419.38
6/28/2017,2440.69
6/29/2017,2419.7
6/30/2017,2423.41
7/3/2017,2429.01
7/5/2017,2432.54
7/6/2017,2409.75
7/7/2017,2425.18
7/10/2017,2427.43
7/11/2017,2425.53
7/12/2017,2443.25
7/13/2017,2447.83
7/14/2017,2459.27
7/17/2017,2459.14
7/18/2017,2460.61
7/19/2017,2473.83
7/20/2017,2473.45
7/21/2017,2472.54
7/24/2017,2469.91
7/25/2017,2477.13
7/26/2017,2477.83
7/27/2017,2475.42
7/28/2017,2472.1
7/31/2017,2470.3
8/1/2017,2476.35
8/2/2017,2477.57
8/3/2017,2472.16
8/4/2017,2476.83
8/7/2017,2480.91
8/8/2017,2474.92
8/9/2017,2474.02
8/10/2017,2438.21
8/11/2017,2441.32
8/14/2017,2465.84
8/15/2017,2464.61
8/16/2017,2468.11
8/17/2017,2430.01
8/18/2017,2425.55
8/21/2017,2428.37
8/22/2017,2452.51
8/23/2017,2444.04
8/24/2017,2438.97
8/25/2017,2443.05
8/28/2017,2444.24
8/29/2017,2446.3
8/30/2017,2457.59
8/31/2017,2471.65
9/1/2017,2476.55
9/5/2017,2457.85
9/6/2017,2465.54
9/7/2017,2465.1
9/8/2017,2461.43
9/11/2017,2488.11
9/12/2017,2496.48
9/13/2017,2498.37
9/14/2017,2495.62
9/15/2017,2500.23
9/18/2017,2503.87
9/19/2017,2506.65
9/20/2017,2508.24
9/21/2017,2500.6
9/22/2017,2502.22
9/25/2017,2496.66
9/26/2017,2496.84
9/27/2017,2507.04
9/28/2017,2510.06
9/29/2017,2519.36
10/2/2017,2529.12
10/3/2017,2534.58
10/4/2017,2537.74
10/5/2017,2552.07
10/6/2017,2549.33
10/9/2017,2544.73
10/10/2017,2550.64
10/11/2017,2555.24
10/12/2017,2550.93
10/13/2017,2553.17
10/16/2017,2557.64
10/17/2017,2559.36
10/18/2017,2561.26
10/19/2017,2562.1
10/20/2017,2575.21
10/23/2017,2564.98
10/24/2017,2569.13
10/25/2017,2557.15
10/26/2017,2560.4
10/27/2017,2581.07
10/30/2017,2572.83
10/31/2017,2575.26
11/1/2017,2579.36
11/2/2017,2579.85
11/3/2017,2587.84
11/6/2017,2591.13
11/7/2017,2590.64
11/8/2017,2594.38
11/9/2017,2584.62
11/10/2017,2582.3
11/13/2017,2584.84
11/14/2017,2578.87
11/15/2017,2564.62
11/16/2017,2585.64
11/17/2017,2578.85
11/20/2017,2582.14
11/21/2017,2599.03
11/22/2017,2597.08
11/24/2017,2602.42
11/27/2017,2601.42
11/28/2017,2627.04
11/29/2017,2626.07
11/30/2017,2647.58
12/1/2017,2642.22
12/4/2017,2639.44
12/5/2017,2629.57
12/6/2017,2629.27
12/7/2017,2636.98
12/8/2017,2651.5
12/11/2017,2659.99
12/12/2017,2664.11
12/13/2017,2662.85
12/14/2017,2652.01
12/15/2017,2675.81
12/18/2017,2690.16
12/19/2017,2681.47
12/20/2017,2679.25
12/21/2017,2684.57
12/22/2017,2683.34
12/26/2017,2680.5
12/27/2017,2682.62
12/28/2017,2687.54
12/29/2017,2673.61
1/2/2018,2695.81
1/3/2018,2713.06
1/4/2018,2723.99
1/5/2018,2743.15
1/8/2018,2747.71
1/9/2018,2751.29
1/10/2018,2748.23
1/11/2018,2767.56
1/12/2018,2786.24
1/16/2018,2776.42
1/17/2018,2802.56
1/18/2018,2798.03
1/19/2018,2810.3
1/22/2018,2832.97
1/23/2018,2839.13
1/24/2018,2837.54
1/25/2018,2839.25
1/26/2018,2872.87
1/29/2018,2853.53
1/30/2018,2822.43
1/31/2018,2823.81
2/1/2018,2821.98
2/2/2018,2762.13
2/5/2018,2648.94
2/6/2018,2695.14
2/7/2018,2681.66
2/8/2018,2581
2/9/2018,2619.55
2/12/2018,2656
2/13/2018,2662.94
2/14/2018,2698.63
2/15/2018,2731.2
2/16/2018,2732.22
2/20/2018,2716.26
2/21/2018,2701.33
2/22/2018,2703.96
2/23/2018,2747.3
2/26/2018,2779.6
2/27/2018,2744.28
2/28/2018,2713.83
3/1/2018,2677.67
3/2/2018,2691.25
3/5/2018,2720.94
3/6/2018,2728.12
3/7/2018,2726.8
3/8/2018,2738.97
3/9/2018,2786.57
3/12/2018,2783.02
3/13/2018,2765.31
3/14/2018,2749.48
3/15/2018,2747.33
3/16/2018,2752.01
3/19/2018,2712.92
3/20/2018,2716.94
3/21/2018,2711.93
3/22/2018,2643.69
3/23/2018,2588.26
3/26/2018,2658.55
3/27/2018,2612.62
3/28/2018,2605
3/29/2018,2640.87
4/2/2018,2581.88
4/3/2018,2614.45
4/4/2018,2644.69
4/5/2018,2662.84
4/6/2018,2604.47
4/9/2018,2613.16
4/10/2018,2656.87
4/11/2018,2642.19
4/12/2018,2663.99
4/13/2018,2656.3
4/16/2018,2677.84
4/17/2018,2706.39
4/18/2018,2708.64
4/19/2018,2693.13
4/20/2018,2670.14
4/23/2018,2670.29
4/24/2018,2634.56
4/25/2018,2639.4
4/26/2018,2666.94
4/27/2018,2669.91
4/30/2018,2648.05
5/1/2018,2654.8
5/2/2018,2635.67
5/3/2018,2629.73
5/4/2018,2663.42
5/7/2018,2672.63
5/8/2018,2671.92
5/9/2018,2697.79
5/10/2018,2723.07
5/11/2018,2727.72
5/14/2018,2730.13
5/15/2018,2711.45
5/16/2018,2722.46
5/17/2018,2720.13
5/18/2018,2712.97
5/21/2018,2733.01
5/22/2018,2724.44
5/23/2018,2733.29
5/24/2018,2727.76
5/25/2018,2721.33
5/29/2018,2689.86
5/30/2018,2724.01
5/31/2018,2705.27
6/1/2018,2734.62
6/4/2018,2746.87
6/5/2018,2748.8
6/6/2018,2772.35
6/7/2018,2770.37
6/8/2018,2779.03
6/11/2018,2782
6/12/2018,2786.85
6/13/2018,2775.63
6/14/2018,2782.49
6/15/2018,2779.66
6/18/2018,2773.75
6/19/2018,2762.59
6/20/2018,2767.32
6/21/2018,2749.76
6/22/2018,2754.88
6/25/2018,2717.07
6/26/2018,2723.06
6/27/2018,2699.63
6/28/2018,2716.31
6/29/2018,2718.37
7/2/2018,2726.71
7/3/2018,2713.22
7/5/2018,2736.61
7/6/2018,2759.82
7/9/2018,2784.17
7/10/2018,2793.84
7/11/2018,2774.02
7/12/2018,2798.29
7/13/2018,2801.31
7/16/2018,2798.43
7/17/2018,2809.55
7/18/2018,2815.62
7/19/2018,2804.49
7/20/2018,2801.83
7/23/2018,2806.98
7/24/2018,2820.4
7/25/2018,2846.07
7/26/2018,2837.44
7/27/2018,2818.82
7/30/2018,2802.6
7/31/2018,2816.29
8/1/2018,2813.36
8/2/2018,2827.22
8/3/2018,2840.35
8/6/2018,2850.4
8/7/2018,2858.45
8/8/2018,2857.7
8/9/2018,2853.58
